ID,Name,Domain,Group,Location,Topic,Metadata
energy__consumption__kitchen_Dlights-integral_mWh_day_1,Kitchen Lights,Energy,Consumption,Kitchen,haas/sensor/config/sensor/anode/energy__consumption__kitchen_Dlights-integral_mWh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Kitchen Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__kitchen_Dlights-integral_mWh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Kitchen""]}, ""unique_id"": ""energy__consumption__kitchen_Dlights-integral_mWh_day_1""}"
energy__consumption__lamp_Dlights-integral_Wh_all_Dtime_1,Lamp Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__lamp_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Lamp Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__lamp_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__lamp_Dlights-integral_Wh_all_Dtime_1""}"
energy__consumption__lamp_Dlights-integral_mWh_day_1,Lamp Lights,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy__consumption__lamp_Dlights-integral_mWh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Lamp Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__lamp_Dlights-integral_mWh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Home""]}, ""unique_id"": ""energy__consumption__lamp_Dlights-integral_mWh_day_1""}"
energy__consumption__laundry_Dlights-integral_Wh_all_Dtime_1,Laundry Lights,Energy,Consumption,Laundry,haas/sensor/config/sensor/anode/energy__consumption__laundry_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Laundry Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__laundry_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Laundry""]}, ""unique_id"": ""energy__consumption__laundry_Dlights-integral_Wh_all_Dtime_1""}"
energy__consumption__laundry_Dlights-integral_mWh_day_1,Laundry Lights,Energy,Consumption,Laundry,haas/sensor/config/sensor/anode/energy__consumption__laundry_Dlights-integral_mWh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Laundry Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__laundry_Dlights-integral_mWh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Laundry""]}, ""unique_id"": ""energy__consumption__laundry_Dlights-integral_mWh_day_1""}"
energy__consumption__lounge_Dlights-integral_Wh_all_Dtime_1,Lounge Lights,Energy,Consumption,Lounge,haas/sensor/config/sensor/anode/energy__consumption__lounge_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Lounge Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__lounge_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Lounge""]}, ""unique_id"": ""energy__consumption__lounge_Dlights-integral_Wh_all_Dtime_1""}"
energy__consumption__lounge_Dlights-integral_mWh_day_1,Lounge Lights,Energy,Consumption,Lounge,haas/sensor/config/sensor/anode/energy__consumption__lounge_Dlights-integral_mWh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Lounge Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__lounge_Dlights-integral_mWh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Lounge""]}, ""unique_id"": ""energy__consumption__lounge_Dlights-integral_mWh_day_1""}"
energy__consumption__office_Dlights-integral_Wh_all_Dtime_1,Office Lights,Energy,Consumption,Office,haas/sensor/config/sensor/anode/energy__consumption__office_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Office Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__office_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Office""]}, ""unique_id"": ""energy__consumption__office_Dlights-integral_Wh_all_Dtime_1""}"
energy__consumption__office_Dlights-integral_mWh_day_1,Office Lights,Energy,Consumption,Office,haas/sensor/config/sensor/anode/energy__consumption__office_Dlights-integral_mWh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""qos"": 1, ""name"": ""Office Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__office_Dlights-integral_mWh_day_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Office""]}, ""unique_id"": ""energy__consumption__office_Dlights-integral_mWh_day_1""}"
energy__consumption__pantry_Dlights-integral_Wh_all_Dtime_1,Pantry Lights,Energy,Consumption,Pantry,haas/sensor/config/sensor/anode/energy__consumption__pantry_Dlights-integral_Wh_all_Dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""qos"": 1, ""name"": ""Pantry Lights"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy__consumption__pantry_Dlights-integral_Wh_all_Dtime_1/state"", ""device"": {""identifiers"": [""Energy"", ""Consumption"", ""Pantry""]}, ""unique_id"": ""energy__consumption__pantry_Dlights-integral_Wh_all_Dtime_1""}"
